Elementos, 100000, 200000, 300000, 400000, 500000, 600000, 700000, 800000, 900000, 1000000
temposSeq,0.000102,0.000238,0.000374,0.000395,0.000618,0.000085,0.001110,0.000409,0.000983,0.001624
temposBin,0.000001,0.000001,0.000000,0.000001,0.000001,0.000001,0.000001,0.000001,0.000000,0.000001
TemposLista,0.000296,0.000502,0.000800,0.000045,0.000871,0.001715,0.001054,0.001957,0.001823,0.000514
Elementos, 10000, 20000, 30000, 40000, 50000, 60000, 70000, 80000, 90000, 100000
TemposBolha,0.172514,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TemposSelecao,0.083452,0.000000,0.000514,0.000000,0.000000,-nan,0.000000,-nan,0.000000,0.000000
TemposInsercao,0.046980,0.000000,0.000000,0.000000,0.000000,644906274009219799243004084901806236662622779509140589124675375403424860459420969356967950849049463719269439297022123032823236796041915722444080077957277872041887833482259401577739400792588036481390258960097625374488050081089373820894457474721475723264.000000,0.000000,0.000000,0.000000,0.000000
TemposQuick,0.000799,0.000000,0.000000,644906274009219799243004084901806236662622779509140589124675375403424860459420969356967950849049463719269439297022123032823236796041915722444080077957277872041887833482259401577739400792588036481390258960097625374488050081089373820894457474721475723264.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
TemposMerge,0.001972,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
