Tipo, Execucao, tempo da Criação(s), Altura
Arvore Binaria,       1,         1.063000,         80
Arvore AVL,          1,         0.253000,         18
Arvore Binaria,       2,         4.063000,         119
Arvore AVL,          2,         0.266000,         18
