Vertices,25%,40%,65%,85%,100%,Media
10,0.000001000,0.000002000,0.000002000,0.000002000,0.000001000,0.000001600
50,0.000013000,0.000017000,0.000021000,0.000013000,0.000010000,0.000014800
100,0.000067000,0.000064000,0.000057000,0.000046000,0.000021000,0.000051000
300,0.000392000,0.000552000,0.000412000,0.000250000,0.000175000,0.000356200
500,0.001002000,0.001154000,0.001057000,0.000650000,0.000363000,0.000845200
750,0.001941000,0.002602000,0.002380000,0.001557000,0.000796000,0.001855200
1000,0.003214000,0.004665000,0.004206000,0.002533000,0.001408000,0.003205200
1500,0.007210000,0.010411000,0.009437000,0.005780000,0.003136000,0.007194800
2500,0.020259000,0.028991000,0.026796000,0.015916000,0.008881000,0.020168600
